htid,title,author,year,source
mdp.39015009287429,Miracle on 34th Street,Valentine Davies,1947,laure
uc1.l0081066383,Edison's Conquest of Mars,Garrett P. Serviss,1947,laure
inu.30000001393556,The Next in Line,Ray Bradbury,1947,laure
uva.x000335077,The Mightiest Machine,"John W. Campbell, Jr.",1947,laure
cub.p104192907006,The Forbidden Garden,John Taine,1947,laure
mdp.39015030709797,The Spirit of Jem,P. H. Newby,1947,laure
mdp.39015011000760,Zotz!,Walter Karig,1947,laure
uc1.$b106043,Adrift in a Boneyard,Robert Lewis Taylor,1947,laure
uva.x006131840,The Chips are Down = Les Jeux Sont Faits,Jean-Paul Sartre,1947,laure
mdp.39015030744836,Doppelgangers,H. F. Heard,1947,laure
cub.p101161704013,Liners of Time,John Russell Fearn,1947,laure
uc1.$b312576,The Flames: A Fantasy,Olaf Stapledon,1947,laure
mdp.39015031233441,Tomorrow and Tomorrow,M. Barnard Eldershaw,1947,laure
uiug.30112056503789,The Master of the Macabre,Russell Thorndike,1947,laure
mdp.39015063920840,Mr. Bremble's Buttons,Dorothy Langley,1947,laure
uc1.$b56896,A Garden to the Eastward,Harold Lamb,1947,laure
mdp.39015042099260,Mrs. Candy and Saturday Night,Robert Tallant,1947,laure
mdp.39015059418064,Two Came to Town,Simeon Strunsky,1947,laure
mdp.39015005137263,The Prevalence of Witches,Aubrey Menen,1947,laure
cub.p101100501015,Bonfires and Broomsticks,Mary Norton,1947,laure
mdp.39015002712175,Jenny Villiers: A Story of the Theater,J. B. Priestley,1947,laure
uc1.b3687670,The Dark Fantastic,Margaret Echard,1947,laure
osu.32435017253824,Mister St. John,Raoul C. Faure,1947,laure
uva.x001056933,An Airplane in the Arabian Nights,Arthur Lee Gould,1947,laure
mdp.39015030356201,If I Were You,Julian Green,1947,laure
uc1.b4027857,World Aflame: The Russian-American War of 1950,Leonard Engel & Emanuel S. Piller,1947,laure
mdp.39015005873982,Froth on the Daydream,Boris Vian,1947,laure
wu.89058799891,Earth Eagles,Marguerite Bayliss,1947,laure
uva.x001495881,The Goose's Tale,Barnaby Dogbolt,1947,laure
uc1.b4098826,Mr. Twigg's Mistake,Robert Lawson,1947,laure
mdp.39015008098132,The Plague,Albert Camus,1947,laure
wu.89099774937,Ibe of Atlan,Ira A. Cole,1947,laure
mdp.39015015148771,Adam and the Serpent,Vardis Fisher,1947,laure
mdp.39015031237046,A Fragment of Glass,F. L. Green,1947,laure
mdp.39015012115484,The Dolls' House,Rumer Godden,1947,laure
mdp.39015030709896,Mr Whittle and the Morning Star,Robert Nathan,1947,laure
